cid,bdate,gen,dwh_create_date
AW00011393,7/17/1974,Male,46:40.2
AW00011394,4/22/1975,Male,46:40.2
AW00011395,4/16/1976,Female,46:40.2
AW00011396,4/4/1975,Male,46:40.2
AW00011397,12/2/1974,Female,46:40.2
AW00011398,3/9/1975,Male,46:40.2
AW00011399,2/1/1975,Female,46:40.2
AW00011400,4/15/1980,Male,46:40.2
AW00011401,2/23/1975,Female,46:40.2
AW00011402,5/20/1975,Female,46:40.2
AW00011403,1/6/1980,Female,46:40.2
AW00011404,6/30/1957,Female,46:40.2
AW00011405,8/16/1957,Female,46:40.2
AW00011406,12/31/1957,Female,46:40.2
AW00011407,9/30/1957,Male,46:40.2
AW00011408,5/10/1964,Male,46:40.2
AW00011409,3/2/1979,Female,46:40.2
AW00011410,NULL,Male,46:40.2
AW00011411,8/12/1959,Male,46:40.2
AW00011412,10/7/1959,Female,46:40.2
AW00011413,10/13/1959,Female,46:40.2
AW00011414,9/15/1959,Male,46:40.2
AW00011415,12/3/1949,Male,46:40.2
AW00011416,9/16/1950,Female,46:40.2
AW00011417,8/26/1950,Female,46:40.2
AW00011418,8/9/1950,Male,46:40.2
AW00011419,8/18/1950,Male,46:40.2
AW00011420,1/9/1952,Male,46:40.2
AW00011421,1/16/1952,Female,46:40.2
AW00011422,2/29/1952,Male,46:40.2
AW00011423,5/4/1960,Female,46:40.2
AW00011424,12/3/1964,Female,46:40.2
AW00011425,8/2/1965,Female,46:40.2
AW00011426,4/1/1959,Male,46:40.2
AW00011427,6/17/1959,Female,46:40.2
AW00011428,2/19/1959,Female,46:40.2
AW00011429,1/13/1958,Male,46:40.2
AW00011430,9/21/1957,Female,46:40.2
AW00011431,10/20/1974,Male,46:40.2
AW00011432,3/10/1957,Female,46:40.2
AW00011433,3/1/1957,Male,46:40.2
AW00011434,5/2/1962,Male,46:40.2
AW00011435,9/3/1955,Female,46:40.2
AW00011436,3/17/1956,Female,46:40.2
AW00011437,6/16/1955,Male,46:40.2
AW00011438,4/13/1955,Female,46:40.2
AW00011439,11/14/1953,Female,46:40.2
AW00011440,3/26/1953,Male,46:40.2
AW00011441,12/9/1952,Female,46:40.2
AW00011442,5/13/1953,Male,46:40.2
AW00011443,11/19/1981,Female,46:40.2
AW00011444,10/26/1981,Female,46:40.2
AW00011445,1/18/1980,Female,46:40.2
AW00011446,2/9/1980,Female,46:40.2
AW00011447,2/13/1980,Female,46:40.2
AW00011448,10/25/1980,Male,46:40.2
AW00011449,8/1/1980,Male,46:40.2
AW00011450,5/11/1981,Male,46:40.2
AW00011451,5/8/1980,Male,46:40.2
AW00011452,5/5/1979,Female,46:40.2
AW00011453,8/17/1984,Male,46:40.2
AW00011454,10/20/1979,Female,46:40.2
AW00011455,10/19/1979,Male,46:40.2
AW00011456,1/5/1980,Male,46:40.2
AW00011457,11/18/1978,Female,46:40.2
AW00011458,10/3/1978,Female,46:40.2
AW00011459,4/12/1978,Female,46:40.2
AW00011460,10/4/1983,Male,46:40.2
AW00011461,9/22/1977,Male,46:40.2
AW00011462,7/18/1977,Female,46:40.2
AW00011463,9/9/1977,Female,46:40.2
AW00011464,5/15/1977,Male,46:40.2
AW00011465,8/18/1976,Male,46:40.2
AW00011466,1/30/1977,Male,46:40.2
AW00011467,4/6/1975,Male,46:40.2
AW00011468,12/15/1980,Female,46:40.2
AW00011469,10/14/1978,Male,46:40.2
AW00011470,3/25/1979,Male,46:40.2
AW00011471,3/25/1979,Female,46:40.2
AW00011472,9/30/1968,Male,46:40.2
AW00011473,1/30/1986,Female,46:40.2
AW00011474,8/21/1985,Male,46:40.2
AW00011475,4/7/1984,Male,46:40.2
AW00011476,5/16/1980,Female,46:40.2
AW00011477,6/21/1984,Male,46:40.2
AW00011478,2/22/1984,Male,46:40.2
AW00011479,10/20/1978,Male,46:40.2
AW00011480,3/7/1984,Female,46:40.2
AW00011481,11/20/1978,Female,46:40.2
AW00011482,1/16/1978,Female,46:40.2
AW00011483,5/19/1983,Male,46:40.2
AW00011484,3/3/1983,Male,46:40.2
AW00011485,2/4/1978,Male,46:40.2
AW00011486,5/21/1982,Female,46:40.2
AW00011487,1/5/1977,Female,46:40.2
AW00011488,3/20/1977,Male,46:40.2
AW00011489,9/3/1976,Female,46:40.2
AW00011490,7/5/1976,Male,46:40.2
AW00011491,4/2/1982,Male,46:40.2
AW00011492,11/15/1982,Male,46:40.2
AW00011493,5/31/1976,Female,46:40.2
AW00011494,1/25/1976,Male,46:40.2
AW00011495,3/3/1977,Male,46:40.2
AW00011496,4/15/1976,Male,46:40.2
AW00011497,11/22/1981,Female,46:40.2
AW00011498,7/15/1979,Male,46:40.2
AW00011499,5/13/1980,Male,46:40.2
AW00011500,3/17/1980,Female,46:40.2
AW00011501,1/3/1981,Female,46:40.2
AW00011502,9/3/1980,Male,46:40.2
AW00011503,4/11/1936,Male,46:40.2
AW00011504,10/17/1936,Female,46:40.2
AW00011505,1/4/1972,Female,46:40.2
AW00011506,11/14/1971,Male,46:40.2
AW00011507,5/19/1972,Female,46:40.2
AW00011508,1/4/1972,Female,46:40.2
AW00011509,7/22/1964,Female,46:40.2
AW00011510,1/10/1959,Male,46:40.2
AW00011511,6/10/1964,Male,46:40.2
AW00011512,8/5/1976,Female,46:40.2
AW00011513,9/23/1965,Female,46:40.2
AW00011514,4/16/1965,Male,46:40.2
AW00011515,8/25/1959,Female,46:40.2
AW00011516,10/13/1976,Female,46:40.2
AW00011517,12/18/1959,Female,46:40.2
AW00011518,11/6/1960,Male,46:40.2
AW00011519,9/13/1960,Male,46:40.2
AW00011520,10/8/1960,Female,46:40.2
AW00011521,12/1/1977,Female,46:40.2
AW00011522,6/17/1972,Male,46:40.2
AW00011523,2/7/1962,Male,46:40.2
AW00011524,7/22/1961,Female,46:40.2
AW00011525,7/8/1961,Female,46:40.2
AW00011526,1/30/1973,Female,46:40.2
AW00011527,12/2/1961,Female,46:40.2
AW00011528,8/15/1968,Female,46:40.2
AW00011529,5/16/1963,Male,46:40.2
AW00011530,1/23/1963,Male,46:40.2
AW00011531,7/7/1962,Female,46:40.2
AW00011532,8/26/1962,Female,46:40.2
AW00011533,7/17/1968,Female,46:40.2
AW00011534,5/12/1964,Male,46:40.2
AW00011535,12/31/1963,Male,46:40.2
AW00011536,4/13/1969,Male,46:40.2
AW00011537,9/21/1963,Male,46:40.2
AW00011538,2/24/1965,Female,46:40.2
AW00011539,8/18/1970,Male,46:40.2
AW00011540,1/24/1970,Male,46:40.2
AW00011541,10/9/1964,Male,46:40.2
AW00011542,9/7/1979,Male,46:40.2
AW00011543,8/16/1973,Female,46:40.2
AW00011544,5/4/1979,Male,46:40.2
AW00011545,9/22/1973,Male,46:40.2
AW00011546,9/11/1973,Female,46:40.2
AW00011547,3/5/1979,Female,46:40.2
AW00011548,4/11/1974,Male,46:40.2
AW00011549,9/3/1979,Female,46:40.2
AW00011550,8/5/1979,Female,46:40.2
AW00011551,NULL,Male,46:40.2
AW00011552,11/23/1972,Male,46:40.2
AW00011553,3/8/1973,Female,46:40.2
AW00011554,3/27/1932,Female,46:40.2
AW00011555,7/4/1937,Female,46:40.2
AW00011556,11/10/1972,Male,46:40.2
AW00011557,7/14/1972,Female,46:40.2
AW00011558,2/18/1973,Male,46:40.2
AW00011559,12/12/1978,Male,46:40.2
AW00011560,8/9/1978,Female,46:40.2
AW00011561,1/21/1972,Female,46:40.2
AW00011562,NULL,Male,46:40.2
AW00011563,8/1/1971,Male,46:40.2
AW00011564,1/9/1972,Male,46:40.2
AW00011565,12/30/1971,Male,46:40.2
AW00011566,3/1/1973,Female,46:40.2
AW00011567,9/19/1978,Female,46:40.2
AW00011568,4/21/1972,Female,46:40.2
AW00011569,5/6/1977,Male,46:40.2
AW00011570,7/22/1971,Female,46:40.2
AW00011571,11/15/1971,Male,46:40.2
AW00011572,3/11/1977,Male,46:40.2
AW00011573,11/11/1976,Female,46:40.2
AW00011574,1/14/1971,Female,46:40.2
AW00011575,10/19/1970,Male,46:40.2
AW00011576,8/10/1970,Male,46:40.2
AW00011577,4/21/1971,Female,46:40.2
AW00011578,5/8/1970,Female,46:40.2
AW00011579,2/13/1981,Male,46:40.2
AW00011580,3/12/1939,Male,46:40.2
AW00011581,NULL,Female,46:40.2
AW00011582,4/9/1974,Female,46:40.2
AW00011583,3/26/1971,Female,46:40.2
AW00011584,5/22/1971,Male,46:40.2
AW00011585,3/4/1976,Female,46:40.2
AW00011586,6/14/1971,Male,46:40.2
AW00011587,10/18/1975,Male,46:40.2
AW00011588,1/11/1970,Female,46:40.2
AW00011589,5/1/1975,Female,46:40.2
AW00011590,4/12/1980,Female,46:40.2
AW00011591,11/12/1968,Female,46:40.2
AW00011592,3/3/1984,Male,46:40.2
AW00011593,9/22/1982,Male,46:40.2
AW00011594,5/3/1985,Male,46:40.2
AW00011595,12/29/1984,Male,46:40.2
AW00011596,3/2/1969,Male,46:40.2
AW00011597,8/6/1983,Female,46:40.2
AW00011598,12/30/1983,Female,46:40.2
AW00011599,3/16/1983,Female,46:40.2
AW00011600,10/5/1982,Female,46:40.2
AW00011601,2/18/1983,Male,46:40.2
AW00011602,10/11/1982,Male,46:40.2
AW00011603,8/6/1982,Male,46:40.2
AW00011604,12/1/1982,Male,46:40.2
AW00011605,5/20/1982,Female,46:40.2
AW00011606,1/30/1986,Female,46:40.2
AW00011607,5/5/1986,Male,46:40.2
AW00011608,9/1/1981,Male,46:40.2
AW00011609,12/24/1981,Male,46:40.2
AW00011610,10/20/1980,Male,46:40.2
AW00011611,2/23/1985,Male,46:40.2
AW00011612,10/7/1985,Male,46:40.2
AW00011613,5/2/1981,Female,46:40.2
AW00011614,2/13/1981,Female,46:40.2
AW00011615,5/20/1981,Male,46:40.2
AW00011616,9/5/1980,Female,46:40.2
AW00011617,10/1/1964,Male,46:40.2
AW00011618,10/21/1964,Male,46:40.2
AW00011619,10/29/1978,Female,46:40.2
AW00011620,10/18/1978,Female,46:40.2
AW00011621,8/19/1978,Female,46:40.2
AW00011622,6/16/1979,Male,46:40.2
AW00011623,12/25/1978,Female,46:40.2
AW00011624,3/19/1984,Male,46:40.2
AW00011625,7/19/1978,Male,46:40.2
AW00011626,12/12/1978,Female,46:40.2
AW00011627,8/27/1978,Male,46:40.2
AW00011628,11/14/1977,Female,46:40.2
AW00011629,8/7/1976,Male,46:40.2
AW00011630,6/23/1977,Female,46:40.2
AW00011631,8/12/1976,Male,46:40.2
AW00011632,5/2/1982,Female,46:40.2
AW00011633,11/23/1977,Male,46:40.2
AW00011634,12/10/1977,Male,46:40.2
